Pathway	Article Count	Success Rate	Times Found	Total Occurrences
Collecting duct acid secretion	200	1.0	3	3
Collecting duct acid secretion	300	1.0	3	3
Collecting duct acid secretion	400	1.0	3	3
Collecting duct acid secretion	500	1.0	3	3
Collecting duct acid secretion	600	1.0	3	3
Collecting duct acid secretion	700	1.0	3	3
Collecting duct acid secretion	800	1.0	3	3
Collecting duct acid secretion	900	1.0	3	3
Complement and coagulation cascades	0	0.9375	30	32
Complement and coagulation cascades	10	0.8	24	30
Complement and coagulation cascades	20	0.8275862068965517	24	29
Complement and coagulation cascades	30	0.8275862068965517	24	29
Complement and coagulation cascades	40	0.8571428571428571	24	28
Complement and coagulation cascades	50	0.8571428571428571	24	28
Complement and coagulation cascades	100	1.0	27	27
Complement and coagulation cascades	200	1.0	26	26
Complement and coagulation cascades	300	1.0	26	26
Complement and coagulation cascades	400	1.0	26	26
Complement and coagulation cascades	500	1.0	26	26
Complement and coagulation cascades	600	1.0	24	24
Complement and coagulation cascades	700	0.9565217391304348	22	23
Complement and coagulation cascades	800	0.9130434782608695	21	23
Complement and coagulation cascades	900	0.9130434782608695	21	23
Complement and coagulation cascades	1000	0.8823529411764706	15	17
Cortisol synthesis and secretion	0	0.75	6	8
Cortisol synthesis and secretion	10	0.625	5	8
Cortisol synthesis and secretion	20	0.5714285714285714	4	7
Cortisol synthesis and secretion	30	0.5714285714285714	4	7
Cortisol synthesis and secretion	40	0.7142857142857143	5	7
Cortisol synthesis and secretion	50	0.7142857142857143	5	7
Cortisol synthesis and secretion	100	0.8571428571428571	6	7
Cortisol synthesis and secretion	200	0.6666666666666666	4	6
Cortisol synthesis and secretion	300	0.6666666666666666	4	6
Cortisol synthesis and secretion	400	0.6666666666666666	4	6
Cortisol synthesis and secretion	500	0.6666666666666666	4	6
Cortisol synthesis and secretion	600	0.6666666666666666	4	6
Cortisol synthesis and secretion	700	0.5	3	6
Cortisol synthesis and secretion	800	0.5	3	6
Cortisol synthesis and secretion	900	0.5	3	6
Cortisol synthesis and secretion	1000	0.6666666666666666	2	3
Cysteine and methionine metabolism	0	0.8333333333333334	5	6
Cysteine and methionine metabolism	10	0.8333333333333334	5	6
Cysteine and methionine metabolism	20	0.8333333333333334	5	6
Cysteine and methionine metabolism	30	0.8333333333333334	5	6
Cysteine and methionine metabolism	40	0.8	4	5
Cysteine and methionine metabolism	50	0.8	4	5
Cysteine and methionine metabolism	100	0.8	4	5
Cysteine and methionine metabolism	200	0.75	3	4
Cysteine and methionine metabolism	300	0.6666666666666666	2	3
Cysteine and methionine metabolism	400	0.6666666666666666	2	3
Cysteine and methionine metabolism	500	0.6666666666666666	2	3
Cysteine and methionine metabolism	600	0.6666666666666666	2	3
Cysteine and methionine metabolism	700	0.6666666666666666	2	3
Cysteine and methionine metabolism	800	0.6666666666666666	2	3
Cysteine and methionine metabolism	900	0.6666666666666666	2	3
Cysteine and methionine metabolism	1000	0.6666666666666666	2	3
Cytokine-cytokine receptor interaction	0	0.9411764705882353	32	34
Cytokine-cytokine receptor interaction	10	0.9	27	30
Cytokine-cytokine receptor interaction	20	0.90625	29	32
Cytokine-cytokine receptor interaction	30	0.8787878787878788	29	33
Cytokine-cytokine receptor interaction	40	0.8484848484848485	28	33
Cytokine-cytokine receptor interaction	50	0.8125	26	32
Cytokine-cytokine receptor interaction	100	0.8709677419354839	27	31
Cytokine-cytokine receptor interaction	200	1.0	26	26
Cytokine-cytokine receptor interaction	300	0.92	23	25
Cytokine-cytokine receptor interaction	400	0.9166666666666666	22	24
Cytokine-cytokine receptor interaction	500	0.9166666666666666	22	24
Cytokine-cytokine receptor interaction	600	0.9130434782608695	21	23
Cytokine-cytokine receptor interaction	700	0.9545454545454546	21	22
Cytokine-cytokine receptor interaction	800	0.9545454545454546	21	22
Cytokine-cytokine receptor interaction	900	0.9545454545454546	21	22
Cytokine-cytokine receptor interaction	1000	0.9090909090909091	10	11
Cytosolic DNA-sensing pathway	0	0.8888888888888888	8	9
Cytosolic DNA-sensing pathway	10	0.8888888888888888	8	9
Cytosolic DNA-sensing pathway	20	0.7777777777777778	7	9
Cytosolic DNA-sensing pathway	30	0.8888888888888888	8	9
Cytosolic DNA-sensing pathway	40	0.875	7	8
Cytosolic DNA-sensing pathway	50	0.875	7	8
Cytosolic DNA-sensing pathway	100	0.6666666666666666	4	6
Cytosolic DNA-sensing pathway	200	0.8	4	5
Cytosolic DNA-sensing pathway	300	0.8	4	5
Cytosolic DNA-sensing pathway	400	0.6	3	5
Cytosolic DNA-sensing pathway	500	0.6	3	5
Cytosolic DNA-sensing pathway	600	0.8	4	5
Cytosolic DNA-sensing pathway	700	0.8	4	5
Cytosolic DNA-sensing pathway	800	0.75	3	4
Cytosolic DNA-sensing pathway	900	0.6666666666666666	2	3
Cytosolic DNA-sensing pathway	1000	0.0	0	1
DNA replication	0	0.6666666666666666	6	9
DNA replication	10	0.5555555555555556	5	9
DNA replication	20	0.6666666666666666	6	9
DNA replication	30	0.75	6	8
DNA replication	40	0.75	6	8
DNA replication	50	0.7142857142857143	5	7
DNA replication	100	0.7142857142857143	5	7
DNA replication	200	0.7142857142857143	5	7
DNA replication	300	0.5	3	6
DNA replication	400	0.8	4	5
DNA replication	500	0.4	2	5
DNA replication	600	0.4	2	5
DNA replication	700	0.4	2	5
DNA replication	800	0.25	1	4
DNA replication	900	0.3333333333333333	1	3
DNA replication	1000	0.3333333333333333	1	3
Dopaminergic synapse	0	0.8333333333333334	5	6
Dopaminergic synapse	10	1.0	4	4
Dopaminergic synapse	20	1.0	4	4
Dopaminergic synapse	30	1.0	4	4
Dopaminergic synapse	40	1.0	4	4
Dopaminergic synapse	50	1.0	4	4
Dopaminergic synapse	100	0.8	4	5
Dopaminergic synapse	200	0.8	4	5
Dopaminergic synapse	300	0.8	4	5
Dopaminergic synapse	400	0.8	4	5
Dopaminergic synapse	500	0.8	4	5
Dopaminergic synapse	600	0.8	4	5
Dopaminergic synapse	700	0.8	4	5
Dopaminergic synapse	800	0.8	4	5
Dopaminergic synapse	900	0.8	4	5
Dopaminergic synapse	1000	0.6666666666666666	2	3
ECM-receptor interaction	0	0.926829268292683	38	41
ECM-receptor interaction	10	0.8717948717948718	34	39
ECM-receptor interaction	20	0.925	37	40
ECM-receptor interaction	30	0.9230769230769231	36	39
ECM-receptor interaction	40	0.9210526315789473	35	38
ECM-receptor interaction	50	0.9210526315789473	35	38
ECM-receptor interaction	100	0.9428571428571428	33	35
ECM-receptor interaction	200	0.9393939393939394	31	33
ECM-receptor interaction	300	0.96875	31	32
ECM-receptor interaction	400	0.96875	31	32
ECM-receptor interaction	500	0.9310344827586207	27	29
ECM-receptor interaction	600	0.96	24	25
ECM-receptor interaction	700	0.9047619047619048	19	21
ECM-receptor interaction	800	0.8947368421052632	17	19
ECM-receptor interaction	900	0.8888888888888888	16	18
ECM-receptor interaction	1000	1.0	5	5
Endocrine and other factor-regulated calcium reabsorption	0	1.0	7	7
Endocrine and other factor-regulated calcium reabsorption	10	1.0	7	7
Endocrine and other factor-regulated calcium reabsorption	20	1.0	5	5
Endocrine and other factor-regulated calcium reabsorption	30	1.0	4	4
Endocrine and other factor-regulated calcium reabsorption	40	1.0	4	4
Endocrine and other factor-regulated calcium reabsorption	50	1.0	4	4
Endocrine and other factor-regulated calcium reabsorption	100	1.0	4	4
Endocrine and other factor-regulated calcium reabsorption	200	1.0	3	3
Endocrine and other factor-regulated calcium reabsorption	300	1.0	2	2
Endocrine and other factor-regulated calcium reabsorption	400	1.0	1	1
Endocrine and other factor-regulated calcium reabsorption	500	1.0	1	1
Endocrine and other factor-regulated calcium reabsorption	600	1.0	1	1
Endocrine and other factor-regulated calcium reabsorption	700	1.0	1	1
Endocrine and other factor-regulated calcium reabsorption	800	1.0	1	1
Endocrine and other factor-regulated calcium reabsorption	900	1.0	1	1
Endocytosis	0	0.8571428571428571	12	14
Endocytosis	10	0.7142857142857143	10	14
Endocytosis	20	0.8461538461538461	11	13
Endocytosis	30	0.6666666666666666	8	12
Endocytosis	40	0.75	9	12
Endocytosis	50	0.75	9	12
Endocytosis	100	0.7272727272727273	8	11
Endocytosis	200	0.7777777777777778	7	9
Endocytosis	300	0.7777777777777778	7	9
Endocytosis	400	0.7777777777777778	7	9
Endocytosis	500	0.7777777777777778	7	9
Endocytosis	600	0.7777777777777778	7	9
Endocytosis	700	0.75	6	8
Endocytosis	800	0.8571428571428571	6	7
Endocytosis	900	0.8571428571428571	6	7
Endocytosis	1000	0.75	3	4
Epstein-Barr virus infection	0	1.0	2	2
Epstein-Barr virus infection	10	1.0	2	2
Epstein-Barr virus infection	20	1.0	2	2
Epstein-Barr virus infection	30	1.0	2	2
Epstein-Barr virus infection	40	1.0	2	2
Epstein-Barr virus infection	50	1.0	2	2
Epstein-Barr virus infection	100	1.0	2	2
Epstein-Barr virus infection	200	1.0	2	2
Epstein-Barr virus infection	300	1.0	2	2
Epstein-Barr virus infection	400	0.5	1	2
Epstein-Barr virus infection	500	0.5	1	2
Epstein-Barr virus infection	600	1.0	2	2
Epstein-Barr virus infection	700	0.5	1	2
Epstein-Barr virus infection	800	1.0	2	2
Epstein-Barr virus infection	900	1.0	2	2
Epstein-Barr virus infection	1000	1.0	1	1
ErbB signaling pathway	0	1.0	4	4
ErbB signaling pathway	10	1.0	3	3
ErbB signaling pathway	20	1.0	3	3
ErbB signaling pathway	30	1.0	2	2
ErbB signaling pathway	40	1.0	2	2
ErbB signaling pathway	50	1.0	2	2
ErbB signaling pathway	100	0.6666666666666666	2	3
ErbB signaling pathway	200	1.0	3	3
ErbB signaling pathway	300	1.0	3	3
ErbB signaling pathway	400	1.0	3	3
ErbB signaling pathway	500	1.0	3	3
ErbB signaling pathway	600	1.0	3	3
ErbB signaling pathway	700	1.0	3	3
ErbB signaling pathway	800	1.0	3	3
ErbB signaling pathway	900	1.0	3	3
ErbB signaling pathway	1000	1.0	1	1
Estrogen signaling pathway	0	1.0	6	6
Estrogen signaling pathway	10	1.0	6	6
Estrogen signaling pathway	20	1.0	6	6
Estrogen signaling pathway	30	1.0	4	4
Estrogen signaling pathway	40	1.0	3	3
Estrogen signaling pathway	50	1.0	3	3
Estrogen signaling pathway	100	1.0	3	3
Estrogen signaling pathway	200	1.0	2	2
Estrogen signaling pathway	300	1.0	2	2
Estrogen signaling pathway	400	1.0	2	2
Estrogen signaling pathway	500	1.0	1	1
Estrogen signaling pathway	600	1.0	1	1
Estrogen signaling pathway	700	1.0	1	1
Estrogen signaling pathway	800	1.0	1	1
Estrogen signaling pathway	900	1.0	1	1
Estrogen signaling pathway	1000	1.0	1	1
Ether lipid metabolism	0	1.0	1	1
Ether lipid metabolism	10	0.0	0	1
Ether lipid metabolism	20	0.0	0	1
Ether lipid metabolism	30	0.0	0	1
Ether lipid metabolism	40	0.0	0	1
Ether lipid metabolism	50	1.0	1	1
Ether lipid metabolism	100	1.0	1	1
Ether lipid metabolism	200	1.0	1	1
Ether lipid metabolism	300	1.0	1	1
Fanconi anemia pathway	0	1.0	10	10
Fanconi anemia pathway	10	1.0	10	10
Fanconi anemia pathway	20	1.0	10	10
Fanconi anemia pathway	30	1.0	10	10
Fanconi anemia pathway	40	1.0	10	10
Fanconi anemia pathway	50	1.0	9	9
Fanconi anemia pathway	100	1.0	9	9
Fanconi anemia pathway	200	1.0	8	8
Fanconi anemia pathway	300	1.0	8	8
Fanconi anemia pathway	400	1.0	8	8
Fanconi anemia pathway	500	1.0	8	8
Fanconi anemia pathway	600	1.0	8	8
Fanconi anemia pathway	700	1.0	8	8
Fanconi anemia pathway	800	1.0	8	8
Fanconi anemia pathway	900	1.0	8	8
Fanconi anemia pathway	1000	1.0	2	2
Fat digestion and absorption	0	0.9	9	10
Fat digestion and absorption	10	0.6666666666666666	6	9
Fat digestion and absorption	20	0.75	6	8
Fat digestion and absorption	30	0.875	7	8
Fat digestion and absorption	40	0.7777777777777778	7	9
Fat digestion and absorption	50	0.7777777777777778	7	9
Fat digestion and absorption	100	0.8888888888888888	8	9
Fat digestion and absorption	200	0.8888888888888888	8	9
Fat digestion and absorption	300	0.8571428571428571	6	7
Fat digestion and absorption	400	0.8571428571428571	6	7
Fat digestion and absorption	500	0.8571428571428571	6	7
Fat digestion and absorption	600	0.8571428571428571	6	7
Fat digestion and absorption	700	0.8571428571428571	6	7
Fat digestion and absorption	800	0.8333333333333334	5	6
Fat digestion and absorption	900	0.8	4	5
Fat digestion and absorption	1000	1.0	1	1
Fatty acid biosynthesis	0	1.0	1	1
Fatty acid biosynthesis	10	1.0	1	1
Fatty acid degradation	0	1.0	11	11
Fatty acid degradation	10	0.36363636363636365	4	11
Fatty acid degradation	20	1.0	11	11
Fatty acid degradation	30	1.0	11	11
Fatty acid degradation	40	1.0	11	11
Fatty acid degradation	50	1.0	11	11
Fatty acid degradation	100	1.0	11	11
Fatty acid degradation	200	1.0	11	11
Fatty acid degradation	300	1.0	11	11
Fatty acid degradation	400	1.0	11	11
Fatty acid degradation	500	1.0	10	10
Fatty acid degradation	600	1.0	10	10
Fatty acid degradation	700	1.0	10	10
Fatty acid degradation	800	1.0	10	10
Fatty acid degradation	900	1.0	10	10
Fatty acid degradation	1000	1.0	9	9
Fatty acid elongation	0	1.0	2	2
Fatty acid elongation	10	1.0	2	2
Fatty acid elongation	20	1.0	2	2
Fatty acid elongation	30	1.0	2	2
Fatty acid elongation	40	1.0	2	2
Fatty acid elongation	50	1.0	2	2
Fatty acid elongation	100	1.0	2	2
Fatty acid elongation	200	1.0	2	2
Fatty acid elongation	300	1.0	2	2
Fatty acid elongation	400	1.0	2	2
Fatty acid elongation	500	1.0	2	2
Fatty acid elongation	600	1.0	2	2
Fatty acid elongation	700	1.0	2	2
Fatty acid elongation	800	1.0	2	2
Fatty acid elongation	900	1.0	2	2
Fc epsilon RI signaling pathway	0	1.0	1	1
Fc epsilon RI signaling pathway	10	0.0	0	1
Fc epsilon RI signaling pathway	20	1.0	1	1
Fc epsilon RI signaling pathway	30	1.0	1	1
Fc epsilon RI signaling pathway	40	0.0	0	1
Fc epsilon RI signaling pathway	50	0.0	0	1
Fc epsilon RI signaling pathway	100	0.0	0	1
Fc epsilon RI signaling pathway	200	1.0	1	1
Fc epsilon RI signaling pathway	300	1.0	1	1
Fc epsilon RI signaling pathway	400	1.0	1	1
Fc epsilon RI signaling pathway	500	1.0	1	1
Fc epsilon RI signaling pathway	600	1.0	1	1
Fc epsilon RI signaling pathway	700	1.0	1	1
Fc epsilon RI signaling pathway	800	1.0	1	1
Fc epsilon RI signaling pathway	900	1.0	1	1
Fc epsilon RI signaling pathway	1000	1.0	1	1
Fc gamma R-mediated phagocytosis	0	1.0	1	1
Fc gamma R-mediated phagocytosis	10	1.0	1	1
Fc gamma R-mediated phagocytosis	20	0.0	0	1
Fc gamma R-mediated phagocytosis	30	0.0	0	1
Fc gamma R-mediated phagocytosis	40	1.0	1	1
Fc gamma R-mediated phagocytosis	50	1.0	1	1
Fc gamma R-mediated phagocytosis	100	1.0	1	1
Fc gamma R-mediated phagocytosis	200	1.0	1	1
Fc gamma R-mediated phagocytosis	300	1.0	1	1
Fc gamma R-mediated phagocytosis	400	1.0	1	1
Fc gamma R-mediated phagocytosis	500	1.0	1	1
Fc gamma R-mediated phagocytosis	600	1.0	1	1
Fc gamma R-mediated phagocytosis	700	1.0	1	1
Fc gamma R-mediated phagocytosis	800	1.0	1	1
Fc gamma R-mediated phagocytosis	900	1.0	1	1
Fc gamma R-mediated phagocytosis	1000	1.0	1	1
Ferroptosis	0	0.9166666666666666	11	12
Ferroptosis	10	0.9166666666666666	11	12
Ferroptosis	20	0.9166666666666666	11	12
Ferroptosis	30	0.9090909090909091	10	11
Ferroptosis	40	0.9090909090909091	10	11
Ferroptosis	50	0.9090909090909091	10	11
Ferroptosis	100	0.8888888888888888	8	9
Ferroptosis	200	0.875	7	8
Ferroptosis	300	0.8571428571428571	6	7
Ferroptosis	400	0.8571428571428571	6	7
Ferroptosis	500	0.8571428571428571	6	7
Ferroptosis	600	0.8333333333333334	5	6
Ferroptosis	700	0.8	4	5
Ferroptosis	800	0.8	4	5
Ferroptosis	900	0.8	4	5
Ferroptosis	1000	1.0	1	1
Focal adhesion	0	0.9411764705882353	48	51
Focal adhesion	10	0.8478260869565217	39	46
Focal adhesion	20	0.9574468085106383	45	47
Focal adhesion	30	0.9111111111111111	41	45
Focal adhesion	40	0.8604651162790697	37	43
Focal adhesion	50	0.9047619047619048	38	42
Focal adhesion	100	0.9230769230769231	36	39
Focal adhesion	200	0.9354838709677419	29	31
Focal adhesion	300	0.9666666666666667	29	30
Focal adhesion	400	1.0	29	29
Focal adhesion	500	1.0	27	27
Focal adhesion	600	1.0	25	25
Focal adhesion	700	1.0	21	21
Focal adhesion	800	1.0	18	18
Focal adhesion	900	1.0	17	17
Focal adhesion	1000	1.0	7	7
Folate biosynthesis	0	1.0	7	7
Folate biosynthesis	10	1.0	7	7
Folate biosynthesis	20	1.0	6	6
Folate biosynthesis	30	1.0	6	6
Folate biosynthesis	40	1.0	6	6
Folate biosynthesis	50	1.0	6	6
Folate biosynthesis	100	1.0	6	6
Folate biosynthesis	200	1.0	6	6
Folate biosynthesis	300	1.0	6	6
Folate biosynthesis	400	1.0	6	6
Folate biosynthesis	500	1.0	4	4
Folate biosynthesis	600	1.0	4	4
Folate biosynthesis	700	1.0	4	4
Folate biosynthesis	800	1.0	4	4
Folate biosynthesis	900	1.0	4	4
Folate biosynthesis	1000	1.0	1	1
FoxO signaling pathway	0	1.0	7	7
FoxO signaling pathway	10	0.8	4	5
FoxO signaling pathway	20	0.8	4	5
FoxO signaling pathway	30	0.8	4	5
FoxO signaling pathway	40	0.8	4	5
FoxO signaling pathway	50	0.8	4	5
FoxO signaling pathway	100	0.8	4	5
FoxO signaling pathway	200	0.75	3	4
FoxO signaling pathway	300	0.75	3	4
FoxO signaling pathway	400	1.0	4	4
FoxO signaling pathway	500	1.0	4	4
FoxO signaling pathway	600	1.0	4	4
FoxO signaling pathway	700	1.0	4	4
FoxO signaling pathway	800	1.0	3	3
FoxO signaling pathway	900	1.0	2	2
FoxO signaling pathway	1000	1.0	2	2
Fructose and mannose metabolism	0	1.0	4	4
Fructose and mannose metabolism	10	1.0	3	3
Fructose and mannose metabolism	20	1.0	3	3
Fructose and mannose metabolism	30	1.0	3	3
Fructose and mannose metabolism	40	1.0	2	2
Fructose and mannose metabolism	50	1.0	2	2
Fructose and mannose metabolism	100	1.0	1	1
Fructose and mannose metabolism	200	1.0	1	1
Fructose and mannose metabolism	300	1.0	1	1
GABAergic synapse	0	0.875	7	8
GABAergic synapse	10	0.8571428571428571	6	7
GABAergic synapse	20	0.875	7	8
GABAergic synapse	30	0.8571428571428571	6	7
GABAergic synapse	40	0.8333333333333334	5	6
GABAergic synapse	50	0.8333333333333334	5	6
GABAergic synapse	100	1.0	5	5
GABAergic synapse	200	1.0	5	5
GABAergic synapse	300	1.0	4	4
GABAergic synapse	400	1.0	4	4
GABAergic synapse	500	1.0	4	4
GABAergic synapse	600	1.0	4	4
GABAergic synapse	700	1.0	4	4
GABAergic synapse	800	1.0	4	4
GABAergic synapse	900	1.0	4	4
GABAergic synapse	1000	1.0	2	2
Galactose metabolism	0	1.0	8	8
Galactose metabolism	10	0.875	7	8
Galactose metabolism	20	0.875	7	8
Galactose metabolism	30	1.0	8	8
Galactose metabolism	40	1.0	7	7
Galactose metabolism	50	1.0	7	7
Galactose metabolism	100	1.0	6	6
Galactose metabolism	200	1.0	6	6
Galactose metabolism	300	1.0	6	6
Galactose metabolism	400	1.0	6	6
Galactose metabolism	500	1.0	6	6
Galactose metabolism	600	1.0	6	6
Galactose metabolism	700	1.0	6	6
Galactose metabolism	800	1.0	6	6
Galactose metabolism	900	1.0	6	6
Galactose metabolism	1000	1.0	1	1
Gap junction	0	0.8333333333333334	5	6
Gap junction	10	0.5	2	4
Gap junction	20	0.75	3	4
Gap junction	30	0.6	3	5
Gap junction	40	0.6	3	5
Gap junction	50	0.6	3	5
Gap junction	100	0.8	4	5
Gap junction	200	0.6666666666666666	2	3
Gap junction	300	0.6666666666666666	2	3
Gap junction	400	0.6666666666666666	2	3
Gap junction	500	1.0	2	2
Gap junction	600	1.0	2	2
Gap junction	700	1.0	2	2
Gap junction	800	1.0	2	2
Gap junction	900	1.0	2	2
Gap junction	1000	1.0	1	1
Gastric acid secretion	0	1.0	2	2
Gastric acid secretion	10	1.0	2	2
Gastric acid secretion	20	1.0	2	2
Gastric acid secretion	30	1.0	2	2
Gastric acid secretion	40	1.0	2	2
Gastric acid secretion	50	1.0	2	2
Gastric acid secretion	100	1.0	2	2
Gastric acid secretion	200	1.0	2	2
Gastric acid secretion	300	1.0	2	2
Gastric acid secretion	400	1.0	1	1
Gastric acid secretion	500	1.0	1	1
Gastric acid secretion	600	1.0	1	1
Gastric acid secretion	700	1.0	1	1
Gastric acid secretion	800	1.0	1	1
Gastric acid secretion	900	1.0	1	1
Gastric acid secretion	1000	1.0	1	1
Glucagon signaling pathway	0	0.8571428571428571	6	7
Glucagon signaling pathway	10	1.0	7	7
Glucagon signaling pathway	20	0.8571428571428571	6	7
Glucagon signaling pathway	30	0.8571428571428571	6	7
Glucagon signaling pathway	40	0.8571428571428571	6	7
Glucagon signaling pathway	50	0.8571428571428571	6	7
Glucagon signaling pathway	100	1.0	6	6
Glucagon signaling pathway	200	0.8333333333333334	5	6
Glucagon signaling pathway	300	0.8333333333333334	5	6
Glucagon signaling pathway	400	1.0	5	5
Glucagon signaling pathway	500	1.0	4	4
Glucagon signaling pathway	600	1.0	4	4
Glucagon signaling pathway	700	1.0	4	4
Glucagon signaling pathway	800	1.0	4	4
Glucagon signaling pathway	900	1.0	4	4
Glucagon signaling pathway	1000	1.0	1	1
Glutamatergic synapse	0	1.0	9	9
Glutamatergic synapse	10	1.0	7	7
Glutamatergic synapse	20	0.8333333333333334	5	6
Glutamatergic synapse	30	0.8333333333333334	5	6
Glutamatergic synapse	40	1.0	5	5
Glutamatergic synapse	50	1.0	5	5
Glutamatergic synapse	100	0.8333333333333334	5	6
Glutamatergic synapse	200	1.0	5	5
Glutamatergic synapse	300	1.0	5	5
Glutamatergic synapse	400	1.0	4	4
Glutamatergic synapse	500	1.0	4	4
Glutamatergic synapse	600	1.0	3	3
Glutamatergic synapse	700	1.0	3	3
Glutamatergic synapse	800	1.0	3	3
Glutamatergic synapse	900	1.0	3	3
Glutamatergic synapse	1000	1.0	1	1
Glutathione metabolism	0	0.75	3	4
Glutathione metabolism	10	0.75	3	4
Glutathione metabolism	20	0.6666666666666666	2	3
Glutathione metabolism	30	0.6666666666666666	2	3
Glutathione metabolism	40	0.6666666666666666	2	3
Glutathione metabolism	50	0.6666666666666666	2	3
Glutathione metabolism	100	0.6666666666666666	2	3
Glutathione metabolism	200	0.6666666666666666	2	3
Glutathione metabolism	300	0.6666666666666666	2	3
Glutathione metabolism	400	0.6666666666666666	2	3
Glutathione metabolism	500	0.6666666666666666	2	3
Glutathione metabolism	600	0.5	1	2
Glutathione metabolism	700	0.5	1	2
Glutathione metabolism	800	0.5	1	2
Glutathione metabolism	900	0.5	1	2
Glutathione metabolism	1000	0.5	1	2
Glycerolipid metabolism	0	1.0	9	9
Glycerolipid metabolism	10	0.8888888888888888	8	9
Glycerolipid metabolism	20	1.0	8	8
Glycerolipid metabolism	30	1.0	8	8
Glycerolipid metabolism	40	1.0	8	8
Glycerolipid metabolism	50	1.0	7	7
Glycerolipid metabolism	100	1.0	5	5
Glycerolipid metabolism	200	1.0	4	4
Glycerolipid metabolism	300	1.0	4	4
Glycerolipid metabolism	400	1.0	3	3
Glycerolipid metabolism	500	1.0	2	2
Glycerolipid metabolism	600	1.0	2	2
Glycerolipid metabolism	700	1.0	2	2
Glycerolipid metabolism	800	1.0	2	2
Glycerolipid metabolism	900	1.0	2	2
Glycerolipid metabolism	1000	1.0	2	2
Glycerophospholipid metabolism	0	0.9090909090909091	10	11
Glycerophospholipid metabolism	10	0.6666666666666666	6	9
Glycerophospholipid metabolism	20	0.7777777777777778	7	9
Glycerophospholipid metabolism	30	0.7777777777777778	7	9
Glycerophospholipid metabolism	40	0.7777777777777778	7	9
Glycerophospholipid metabolism	50	0.875	7	8
Glycerophospholipid metabolism	100	0.8571428571428571	6	7
Glycerophospholipid metabolism	200	1.0	6	6
Glycerophospholipid metabolism	300	1.0	6	6
Glycerophospholipid metabolism	400	1.0	5	5
Glycerophospholipid metabolism	500	1.0	5	5
Glycerophospholipid metabolism	600	1.0	4	4
Glycerophospholipid metabolism	700	1.0	3	3
Glycerophospholipid metabolism	800	1.0	3	3
Glycerophospholipid metabolism	900	1.0	2	2
Glycine, serine and threonine metabolism	0	1.0	11	11
Glycine, serine and threonine metabolism	10	0.875	7	8
Glycine, serine and threonine metabolism	20	0.875	7	8
Glycine, serine and threonine metabolism	30	1.0	7	7
Glycine, serine and threonine metabolism	40	1.0	7	7
Glycine, serine and threonine metabolism	50	1.0	6	6
Glycine, serine and threonine metabolism	100	1.0	5	5
Glycine, serine and threonine metabolism	200	1.0	3	3
Glycine, serine and threonine metabolism	300	1.0	2	2
Glycine, serine and threonine metabolism	400	1.0	1	1
Glycine, serine and threonine metabolism	500	1.0	1	1
Glycine, serine and threonine metabolism	600	1.0	1	1
Glycine, serine and threonine metabolism	700	1.0	1	1
Glycine, serine and threonine metabolism	800	1.0	1	1
Glycine, serine and threonine metabolism	900	1.0	1	1
Glycolysis / Gluconeogenesis	0	0.8	16	20
Glycolysis / Gluconeogenesis	10	0.7368421052631579	14	19
Glycolysis / Gluconeogenesis	20	0.7222222222222222	13	18
Glycolysis / Gluconeogenesis	30	1.0	18	18
Glycolysis / Gluconeogenesis	40	0.7777777777777778	14	18
Glycolysis / Gluconeogenesis	50	0.7777777777777778	14	18
Glycolysis / Gluconeogenesis	100	0.8235294117647058	14	17
Glycolysis / Gluconeogenesis	200	0.875	14	16
Glycolysis / Gluconeogenesis	300	0.9375	15	16
Glycolysis / Gluconeogenesis	400	0.9333333333333333	14	15
Glycolysis / Gluconeogenesis	500	0.9090909090909091	10	11
Glycolysis / Gluconeogenesis	600	0.8	8	10
Glycolysis / Gluconeogenesis	700	0.8	8	10
Glycolysis / Gluconeogenesis	800	0.7	7	10
Glycolysis / Gluconeogenesis	900	0.7	7	10
Glycolysis / Gluconeogenesis	1000	0.25	1	4
Glycosaminoglycan degradation	0	1.0	14	14
Glycosaminoglycan degradation	10	1.0	14	14
Glycosaminoglycan degradation	20	1.0	14	14
Glycosaminoglycan degradation	30	1.0	14	14
Glycosaminoglycan degradation	40	1.0	14	14
Glycosaminoglycan degradation	50	1.0	14	14
Glycosaminoglycan degradation	100	1.0	13	13
Glycosaminoglycan degradation	200	1.0	13	13
Glycosaminoglycan degradation	300	1.0	13	13
Glycosaminoglycan degradation	400	1.0	13	13
Glycosaminoglycan degradation	500	1.0	13	13
Glycosaminoglycan degradation	600	1.0	13	13
Glycosaminoglycan degradation	700	1.0	13	13
Glycosaminoglycan degradation	800	1.0	13	13
Glycosaminoglycan degradation	900	1.0	13	13
Glycosaminoglycan degradation	1000	1.0	3	3
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0.625	5	8
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	10	0.625	5	8
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	20	0.625	5	8
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	30	0.7142857142857143	5	7
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	40	0.6	3	5
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	50	0.6	3	5
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	100	0.6	3	5
